tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1994-520,Roland Garros,Clay,128,G,19940523,022,101609,,,David Wheaton,R,193,USA,24.9719370294,104,427,102358,,,Thomas Enqvist,R,190,SWE,20.1943874059,63,673,7-6(5) 6-0 6-3,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,023,101888,,,Daniel Vacek,R,190,CZE,23.1430527036,61,678,101439,,,Javier Sanchez,R,178,ESP,26.3052703628,24,1240,7-6(3) 0-6 6-2 6-4,5,R128,,2,4,122,78,55,22,18,8,12,2,0,117,74,56,16,18,9,13
1994-520,Roland Garros,Clay,128,G,19940523,024,101320,13,,Magnus Gustafsson,R,185,SWE,27.3839835729,13,1951,102146,,,Jordi Burillo,R,188,ESP,21.4565366188,74,556,7-5 3-6 7-5 6-2,5,R128,,6,6,132,80,53,24,20,2,8,5,3,124,79,49,20,21,3,12
1994-520,Roland Garros,Clay,128,G,19940523,025,101404,11,,Thomas Muster,L,180,AUT,26.6392881588,11,2119,101772,,,Andrei Cherkasov,R,180,RUS,23.8850102669,60,680,6-0 7-5 6-1,5,R128,,3,3,80,43,35,15,13,3,6,0,6,100,65,30,10,12,10,19
1994-520,Roland Garros,Clay,128,G,19940523,026,101736,,,Andre Agassi,R,180,USA,24.0657084189,19,1405,101062,,WC,Mats Wilander,R,183,SWE,29.749486653,137,284,6-2 7-5 6-1,5,R128,,1,2,97,64,45,15,14,10,13,1,6,119,74,39,16,13,8,16
1994-520,Roland Garros,Clay,128,G,19940523,027,102158,,,Patrick Rafter,R,185,AUS,21.3990417522,26,1117,101686,,,Franco Davin,L,173,ARG,24.3613963039,91,482,6-7(5) 6-4 2-6 6-4 7-5,5,R128,,15,17,233,130,96,39,26,20,24,3,1,163,123,85,23,26,4,9
1994-520,Roland Garros,Clay,128,G,19940523,028,102201,,WC,Lionel Roux,R,185,FRA,21.1115674196,120,365,101725,,Q,Gabriel Markus,R,180,ARG,24.1451060917,73,556,7-5 6-1 7-6(3),5,R128,,6,1,100,86,65,5,16,0,2,1,4,97,76,49,5,15,8,13
1994-520,Roland Garros,Clay,128,G,19940523,029,102184,,LL,David Prinosil,R,185,GER,21.2046543463,119,375,101142,,,Emilio Sanchez,R,180,ESP,28.9828884326,101,438,2-6 7-6(5) 6-3 7-6(4),5,R128,,4,8,161,84,57,32,21,10,17,4,1,139,95,60,21,20,8,14
1994-520,Roland Garros,Clay,128,G,19940523,030,101086,,,Ronald Agenor,R,180,USA,29.5222450376,31,965,101353,,WC,Lionel Barthez,R,180,FRA,27.0143737166,209,182,2-6 1-6 6-2 6-4 6-2,5,R128,,4,8,164,105,67,19,21,13,21,2,13,144,73,44,26,20,2,10
1994-520,Roland Garros,Clay,128,G,19940523,031,102104,,Q,Christian Ruud,R,188,NOR,21.7440109514,135,295,101582,,,Gilbert Schaller,R,180,AUT,25.18275154,64,651,6-4 6-4 6-2,5,R128,,5,0,75,56,43,10,14,1,4,1,2,112,78,43,12,14,8,15
1994-520,Roland Garros,Clay,128,G,19940523,032,101843,6,,Sergi Bruguera,R,188,ESP,23.3483915127,6,2579,102093,,,Martin Damm,R,188,CZE,21.8069815195,68,598,6-1 6-1 7-6(3),5,R128,,2,0,87,63,45,17,13,4,5,3,3,105,58,31,20,13,6,12
1994-520,Roland Garros,Clay,128,G,19940523,033,101964,5,,Goran Ivanisevic,L,193,CRO,22.6913073238,5,2611,102088,,Q,Joern Renzenbrink,R,196,GER,21.8480492813,87,490,7-6(5) 7-6(5) 6-2,5,R128,,10,1,111,75,63,23,16,2,3,14,4,141,96,71,21,16,14,17
1994-520,Roland Garros,Clay,128,G,19940523,034,101214,,,Bryan Shelton,R,185,USA,28.4161533196,128,332,101710,,Q,Martin Blackman,R,188,USA,24.2162902122,180,213,4-6 6-3 7-6(3) 6-3,5,R128,,7,11,147,77,60,33,21,3,6,5,3,136,90,62,23,19,10,14
1994-520,Roland Garros,Clay,128,G,19940523,035,101711,,,Alex Obrien,R,185,USA,24.2108145106,112,391,101820,,,Marc Rosset,R,201,SUI,23.5400410678,18,1408,6-2 6-7(2) 6-7(5) 6-3 8-6,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,036,102374,,,Alex Corretja,R,180,ESP,20.1149897331,41,835,101897,,,Fernando Meligeni,L,180,BRA,23.112936345,81,518,6-3 6-1 1-6 5-7 6-3,5,R128,27,8,5,155,83,59,29,22,7,14,3,3,153,89,53,27,22,12,21
1994-520,Roland Garros,Clay,128,G,19940523,037,102344,,,Karol Kucera,R,188,SVK,20.219028063,106,421,101862,,,Maurice Ruah,R,178,VEN,23.2553045859,100,441,6-2 6-3 6-1,5,R128,,3,7,92,42,32,26,12,9,10,2,4,79,38,18,17,12,7,14
1994-520,Roland Garros,Clay,128,G,19940523,038,101589,,,Arnaud Boetsch,R,183,FRA,25.1416837782,17,1415,100656,,,Ivan Lendl,R,188,USA,34.2094455852,28,1089,6-4 6-3 6-4,5,R128,,3,1,93,58,42,23,14,8,9,5,2,105,54,32,28,15,5,10
1994-520,Roland Garros,Clay,128,G,19940523,039,100763,,,Brad Gilbert,R,185,USA,32.7857631759,32,948,101750,,Q,Cristiano Caratti,R,178,ITA,23.9972621492,133,300,6-2 6-2 6-3,5,R128,,7,4,111,58,43,27,13,10,11,2,2,76,55,34,7,12,8,14
1994-520,Roland Garros,Clay,128,G,19940523,040,102247,,,Andrea Gaudenzi,R,183,ITA,20.8131416838,34,909,101434,12,,Petr Korda,L,190,CZE,26.3299110198,12,1951,6-2 5-7 6-7(4) 6-2 6-2,5,R128,,2,9,171,97,63,37,24,10,16,6,7,181,104,66,28,24,18,29
1994-520,Roland Garros,Clay,128,G,19940523,041,101611,14,,Cedric Pioline,R,188,FRA,24.9363449692,14,1676,101084,,,Jakob Hlasek,R,188,SUI,29.5249828884,58,685,6-4 3-6 6-4 6-3,5,R128,,2,7,142,78,54,23,19,6,12,7,9,133,69,46,23,19,7,15
1994-520,Roland Garros,Clay,128,G,19940523,042,102238,,,Alberto Berasategui,R,173,ESP,20.900752909,23,1253,101965,,,Wayne Ferreira,R,185,RSA,22.6858316222,21,1384,6-3 RET,5,R128,1,0,1,31,25,17,2,5,2,2,4,0,49,32,21,6,5,3,5
1994-520,Roland Garros,Clay,128,G,19940523,043,101463,,,Bernd Karbacher,R,185,GER,26.135523614,88,486,101507,,,Tomas Carbonell,R,178,ESP,25.7905544148,67,616,7-5 6-2 3-6 4-6 6-0,5,R128,43,12,5,160,97,72,33,22,4,7,3,2,166,120,81,18,23,16,23
1994-520,Roland Garros,Clay,128,G,19940523,044,102338,,,Yevgeny Kafelnikov,R,190,RUS,20.257357974,20,1390,101945,,WC,Thierry Guardiola,R,188,FRA,22.7926078029,204,186,4-6 7-5 6-4 4-6 6-4,5,R128,,1,2,159,105,63,23,26,10,22,4,1,194,120,67,32,26,15,28
1994-520,Roland Garros,Clay,128,G,19940523,045,101735,,,Richard Fromberg,R,196,AUS,24.0684462697,72,565,101647,,,Byron Black,R,175,ZIM,24.6269678303,69,586,7-6(1) 5-7 7-6(5) 6-1,5,R128,,14,9,176,107,80,26,21,8,13,2,2,163,86,56,35,22,9,16
1994-520,Roland Garros,Clay,128,G,19940523,046,101185,,,Mark Woodforde,L,188,AUS,28.6625598905,53,741,101284,,Q,Lars Anders Wahlgren,R,193,SWE,27.7453798768,252,135,4-6 6-2 6-1 7-6(2),5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,047,101318,,,Javier Frana,L,185,ARG,27.40862423,98,448,101613,,,Malivai Washington,R,180,USA,24.9226557153,29,1041,7-5 6-1 6-3,5,R128,,13,0,93,71,55,15,14,3,4,6,5,103,68,47,8,14,6,12
1994-520,Roland Garros,Clay,128,G,19940523,048,101510,,,Henrik Holm,R,183,SWE,25.749486653,37,862,101222,3,,Stefan Edberg,R,188,SWE,28.3394934976,3,2897,7-5 7-6(1) 6-7(2) 6-7(8) 6-4,5,R128,,9,5,196,111,77,48,29,7,12,3,14,211,139,97,22,29,7,14
1994-520,Roland Garros,Clay,128,G,19940523,049,102021,8,,Michael Chang,R,175,USA,22.2477754962,8,2437,101026,,,Jim Grabb,R,193,USA,30.1054072553,130,317,6-3 7-6(1) 6-1,5,R128,,2,2,90,56,45,21,15,1,2,5,2,105,72,49,11,13,6,10
1994-520,Roland Garros,Clay,128,G,19940523,050,101063,,,Jordi Arrese,R,175,ESP,29.7303216975,52,750,101549,,,Rodolphe Gilbert,L,183,FRA,25.4428473648,79,534,4-6 6-3 6-2 6-3,5,R128,,0,0,112,103,64,4,18,4,8,7,6,108,76,51,7,17,7,15
1994-520,Roland Garros,Clay,128,G,19940523,051,101409,,,Jaime Yzaga,R,170,PER,26.5817932923,27,1115,101265,,,Patrick Mcenroe,R,183,USA,27.8932238193,66,638,6-2 6-3 6-2,5,R128,,2,2,83,47,31,17,12,6,9,0,3,87,56,27,8,13,5,14
1994-520,Roland Garros,Clay,128,G,19940523,052,101932,,,Jared Palmer,R,190,USA,22.8911704312,57,692,101195,,,Amos Mansdorf,R,175,ISR,28.5886379192,50,763,6-4 6-0 6-2,5,R128,,1,4,75,36,28,22,12,2,3,0,6,79,46,23,9,12,3,10
1994-520,Roland Garros,Clay,128,G,19940523,053,101543,,,Jeff Tarango,L,180,USA,25.5030800821,85,499,101901,,,Chuck Adams,R,185,USA,23.0828199863,84,513,6-4 3-6 6-2 6-1,5,R128,,12,1,108,78,61,19,17,5,7,6,7,139,84,59,19,17,5,11
1994-520,Roland Garros,Clay,128,G,19940523,054,101723,,,Magnus Larsson,R,193,SWE,24.1615331964,46,788,101601,,,Brett Steven,R,185,NZL,25.0704996578,71,573,6-2 6-2 6-2,5,R128,,5,0,72,60,45,7,12,4,6,1,5,80,40,21,10,12,4,12
1994-520,Roland Garros,Clay,128,G,19940523,055,101532,,,Francisco Clavet,L,183,ESP,25.5770020534,103,431,101190,,,Darren Cahill,R,185,AUS,28.6379192334,219,168,4-6 4-6 6-4 6-4 6-1,5,R128,,1,5,157,107,72,21,24,6,11,3,5,146,84,59,25,23,4,11
1994-520,Roland Garros,Clay,128,G,19940523,056,101774,9,,Todd Martin,R,198,USA,23.8740588638,9,2223,101362,,,Stephane Simian,L,193,FRA,26.9568788501,107,420,6-2 7-6(3) 3-6 6-1,5,R128,,5,0,109,71,51,26,18,0,3,3,6,142,93,61,17,18,9,15
1994-520,Roland Garros,Clay,128,G,19940523,057,101475,15,,Carlos Costa,R,183,ESP,26.083504449,15,1528,101703,,,Guillaume Raoux,R,180,FRA,24.2683093771,90,483,6-1 7-6(5) 6-1,5,R128,,4,1,83,55,41,20,14,0,2,2,5,95,48,28,17,12,6,12
1994-520,Roland Garros,Clay,128,G,19940523,058,102521,,,Hendrik Dreekmann,R,188,GER,19.3127994524,89,483,102437,,Q,Adrian Voinea,R,185,ROU,19.794661191,268,120,6-2 4-6 7-5 6-4,5,R128,,5,10,154,101,67,21,20,13,17,2,1,128,94,57,17,20,7,14
1994-520,Roland Garros,Clay,128,G,19940523,059,101866,,,David Rikl,L,178,CZE,23.2334017796,51,758,101230,,,Andrei Chesnokov,R,188,RUS,28.3011635866,38,851,6-1 2-1 RET,5,R128,2,4,0,30,18,17,8,5,1,1,0,0,43,27,14,6,5,3,6
1994-520,Roland Garros,Clay,128,G,19940523,060,101191,,,Richey Reneberg,R,180,USA,28.629705681,35,903,101727,,,Jason Stoltenberg,R,185,AUS,24.1341546886,40,844,1-6 3-6 6-3 6-3 7-5,5,R128,111,5,3,162,87,54,34,23,10,19,15,7,175,98,77,25,23,5,14
1994-520,Roland Garros,Clay,128,G,19940523,061,101432,,Q,Dimitri Poliakov,R,183,UKR,26.340862423,131,317,101917,,,Grant Stafford,R,188,RSA,22.9897330595,77,542,6-2 7-6(4) 6-4,5,R128,,1,4,109,73,50,14,15,5,9,6,5,120,79,47,16,15,9,16
1994-520,Roland Garros,Clay,128,G,19940523,062,102118,,Q,Radomir Vasek,R,188,CZE,21.6618754278,272,118,101962,,,Younes El Aynaoui,R,193,MAR,22.6940451745,56,713,6-3 6-4 7-6(6),5,R128,,1,3,112,69,46,20,15,11,14,8,6,116,63,41,24,16,3,9
1994-520,Roland Garros,Clay,128,G,19940523,063,101381,,,Aaron Krickstein,R,183,USA,26.8062970568,33,942,101276,,,Horacio De La Pena,L,180,ARG,27.8083504449,125,341,6-3 6-4 7-6,5,R128,,2,1,74,52,43,12,13,1,2,1,0,71,58,34,6,13,1,7
1994-520,Roland Garros,Clay,128,G,19940523,064,101529,2,,Michael Stich,R,193,GER,25.5934291581,2,3064,101746,,,Renzo Furlan,R,175,ITA,24.0164271047,36,863,6-1 7-5 6-4,5,R128,,11,2,114,76,60,20,15,2,2,0,2,87,51,33,17,14,5,9
1994-520,Roland Garros,Clay,128,G,19940523,065,101948,1,,Pete Sampras,R,185,USA,22.7789185489,1,5304,102701,,Q,Marcelo Rios,L,175,CHI,18.4065708419,283,115,7-6(5) 7-6(4) 6-4,5,R64,,4,3,119,84,61,20,17,6,8,7,2,122,106,72,10,17,6,9
1994-520,Roland Garros,Clay,128,G,19940523,066,101235,,,Paul Haarhuis,R,188,NED,28.2546201232,25,1210,101767,,Q,Lars Jonsson,R,188,SWE,23.9041752225,97,449,6-3 2-6 1-6 7-5 6-3,5,R64,,14,1,158,98,75,28,23,11,17,2,1,140,88,55,28,22,5,10
1994-520,Roland Garros,Clay,128,G,19940523,067,102025,,Q,Mikael Tillstrom,R,185,SWE,22.2149212868,226,158,101249,,,Andrei Olhovskiy,R,185,RUS,28.1040383299,92,480,6-3 7-6(2) 6-4,5,R64,,7,2,105,61,45,29,15,4,5,7,10,134,73,53,22,16,5,9
1994-520,Roland Garros,Clay,128,G,19940523,068,101990,16,,Richard Krajicek,R,196,NED,22.4613278576,16,1443,101285,,WC,Thierry Champion,R,183,FRA,27.7262149213,192,200,6-3 6-3 4-6 6-2,5,R64,,13,3,124,79,62,25,18,8,10,1,5,99,48,30,28,18,4,10
1994-520,Roland Garros,Clay,128,G,19940523,069,102148,,WC,Fabrice Santoro,R,178,FRA,21.4510609172,127,338,101890,,,Jonathan Stark,R,188,USA,23.1375770021,42,806,6-2 6-2 6-2,5,R64,39,7,0,74,64,49,8,12,2,2,3,6,85,54,34,6,12,4,10
1994-520,Roland Garros,Clay,128,G,19940523,070,101358,,,Olivier Delaitre,R,170,FRA,26.9760438056,76,544,101720,,Q,Agustin Garizzio,R,185,ARG,24.1779603012,516,37,6-4 6-0 7-6(4),5,R64,,7,0,100,60,46,20,14,5,9,0,8,95,49,20,20,14,6,14
1994-520,Roland Garros,Clay,128,G,19940523,071,102035,,,Jonas Bjorkman,R,183,SWE,22.1656399726,105,424,101792,,,Slava Dosedel,R,183,CZE,23.7727583847,30,1027,6-0 7-5 6-3,5,R64,,4,4,89,42,29,24,13,4,7,2,8,109,66,35,11,14,6,15
1994-520,Roland Garros,Clay,128,G,19940523,072,101793,7,,Jim Courier,R,185,USA,23.7645448323,7,2564,101924,,,Stefano Pescosolido,R,185,ITA,22.9431895962,47,781,7-5 6-0 6-7(7) 6-4,5,R64,,8,2,142,80,64,34,20,10,13,0,8,132,72,43,29,20,4,12
1994-520,Roland Garros,Clay,128,G,19940523,073,102446,4,,Andrei Medvedev,R,193,UKR,19.7262149213,4,2747,101900,,,Nicklas Kulti,R,190,SWE,23.0855578371,80,529,6-4 7-6(4) 4-6 7-5,5,R64,,7,0,141,102,75,27,22,7,9,3,3,155,88,64,35,22,6,9
1994-520,Roland Garros,Clay,128,G,19940523,074,102257,,,Greg Rusedski,L,193,GBR,20.7091033539,59,684,101334,,,Alexander Volkov,L,188,RUS,27.2224503765,22,1289,7-5 6-3 2-6 6-3,5,R64,,7,7,119,67,55,25,19,5,9,0,9,139,57,41,33,19,12,18
1994-520,Roland Garros,Clay,128,G,19940523,075,101797,,,Jacco Eltingh,R,188,NED,23.7316906229,62,675,101609,,,David Wheaton,R,193,USA,24.9719370294,104,427,6-3 4-6 7-6(4) 6-7(4) 6-4,5,R64,,18,6,181,123,98,31,27,5,9,18,7,189,121,95,33,26,8,13
1994-520,Roland Garros,Clay,128,G,19940523,076,101888,,,Daniel Vacek,R,190,CZE,23.1430527036,61,678,101320,13,,Magnus Gustafsson,R,185,SWE,27.3839835729,13,1951,0-6 6-4 7-6(4) 6-4,5,R64,,5,4,135,88,59,23,19,9,13,1,7,132,90,60,21,19,8,11
1994-520,Roland Garros,Clay,128,G,19940523,077,101404,11,,Thomas Muster,L,180,AUT,26.6392881588,11,2119,101736,,,Andre Agassi,R,180,USA,24.0657084189,19,1405,6-3 6-7(5) 7-5 2-6 7-5,5,R64,,9,11,177,113,80,28,26,6,12,8,4,191,120,82,30,27,11,19
1994-520,Roland Garros,Clay,128,G,19940523,078,102158,,,Patrick Rafter,R,185,AUS,21.3990417522,26,1117,102201,,WC,Lionel Roux,R,185,FRA,21.1115674196,120,365,6-2 6-4 6-4,5,R64,,7,2,93,59,46,18,14,0,1,1,2,104,64,35,20,14,8,13
1994-520,Roland Garros,Clay,128,G,19940523,079,101086,,,Ronald Agenor,R,180,USA,29.5222450376,31,965,102184,,LL,David Prinosil,R,185,GER,21.2046543463,119,375,6-7(4) 6-7(2) 6-3 6-4 14-12,5,R64,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,080,101843,6,,Sergi Bruguera,R,188,ESP,23.3483915127,6,2579,102104,,Q,Christian Ruud,R,188,NOR,21.7440109514,135,295,6-2 6-2 7-6(2),5,R64,,5,0,86,53,38,18,14,4,8,0,3,86,45,25,15,14,5,13
1994-520,Roland Garros,Clay,128,G,19940523,081,101964,5,,Goran Ivanisevic,L,193,CRO,22.6913073238,5,2611,101214,,,Bryan Shelton,R,185,USA,28.4161533196,128,332,1-6 6-1 6-2 6-4,5,R64,,12,6,117,67,52,25,16,6,8,6,7,123,64,45,23,16,9,14
1994-520,Roland Garros,Clay,128,G,19940523,082,102374,,,Alex Corretja,R,180,ESP,20.1149897331,41,835,101711,,,Alex Obrien,R,185,USA,24.2108145106,112,391,6-2 4-6 6-2 6-4,5,R64,,2,1,104,85,64,12,18,0,1,4,4,126,85,58,17,18,8,13
1994-520,Roland Garros,Clay,128,G,19940523,083,101589,,,Arnaud Boetsch,R,183,FRA,25.1416837782,17,1415,102344,,,Karol Kucera,R,188,SVK,20.219028063,106,421,6-2 6-2 6-3,5,R64,,0,2,74,43,35,13,12,5,7,1,12,111,46,26,21,13,10,18
1994-520,Roland Garros,Clay,128,G,19940523,084,102247,,,Andrea Gaudenzi,R,183,ITA,20.8131416838,34,909,100763,,,Brad Gilbert,R,185,USA,32.7857631759,32,948,7-5 6-3 6-3,5,R64,,2,5,104,75,47,14,15,4,7,1,8,100,47,29,17,15,7,14
1994-520,Roland Garros,Clay,128,G,19940523,085,102238,,,Alberto Berasategui,R,173,ESP,20.900752909,23,1253,101611,14,,Cedric Pioline,R,188,FRA,24.9363449692,14,1676,6-4 7-5 6-3,5,R64,,2,2,101,74,47,15,16,8,12,2,4,127,78,49,14,15,8,15
1994-520,Roland Garros,Clay,128,G,19940523,086,102338,,,Yevgeny Kafelnikov,R,190,RUS,20.257357974,20,1390,101463,,,Bernd Karbacher,R,185,GER,26.135523614,88,486,6-2 1-6 6-2 6-2,5,R64,,2,2,158,113,74,22,26,6,14,3,1,196,115,70,39,26,14,23
1994-520,Roland Garros,Clay,128,G,19940523,087,101185,,,Mark Woodforde,L,188,AUS,28.6625598905,53,741,101735,,,Richard Fromberg,R,196,AUS,24.0684462697,72,565,6-2 7-5 7-6(1),5,R64,,11,7,136,69,56,34,16,12,14,3,5,115,65,40,22,16,7,12
1994-520,Roland Garros,Clay,128,G,19940523,088,101318,,,Javier Frana,L,185,ARG,27.40862423,98,448,101510,,,Henrik Holm,R,183,SWE,25.749486653,37,862,6-4 6-4 6-4,5,R64,,2,4,87,47,35,25,15,1,2,4,7,113,59,41,23,15,7,11
1994-520,Roland Garros,Clay,128,G,19940523,089,102021,8,,Michael Chang,R,175,USA,22.2477754962,8,2437,101063,,,Jordi Arrese,R,175,ESP,29.7303216975,52,750,4-6 6-0 6-4 6-2,5,R64,,3,0,104,66,48,13,17,6,12,1,2,121,81,39,15,17,12,23
